location,date,total_cases,new_cases_smoothed,total_deaths,new_deaths_smoothed,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations_smoothed,new_people_vaccinated_smoothed
High income,3/13/20,51930,5203.857,1681,199.714,,,,,
High income,3/14/20,60953,6075.429,1986,235.429,,,,,
High income,3/15/20,70332,6998,2505,286.714,,,,,
High income,3/16/20,83090,8304.714,3046,346.286,,,,,
High income,3/17/20,96094,9630,3694,409.857,,,,,
High income,3/18/20,111373,10907.857,4411,476.286,,,,,
High income,3/19/20,135877,13618.143,5335,576.857,,,,,
High income,3/20/20,162296,15766.571,6637,708,,,,,
High income,3/21/20,191580,18661.429,8197,887.286,,,,,
High income,3/22/20,221362,21576.143,9647,1020.286,,,,,
High income,3/23/20,259760,25239,11415,1195.571,,,,,
High income,3/24/20,296996,28700.714,13526,1404.571,,,,,
High income,3/25/20,342874,33072,16118,1672.429,,,,,
High income,3/26/20,396640,37252.286,18854,1931.286,,,,,
High income,3/27/20,451837,41363.429,22059,2203.143,,,,,
High income,3/28/20,512856,45896.571,25575,2482.571,,,,,
High income,3/29/20,560589,48461,28745,2728.286,,,,,
High income,3/30/20,617199,51062.714,32469,3007.714,,,,,
High income,3/31/20,682487,55070.143,36819,3327.571,,,,,
High income,4/1/20,752814,58562.857,42394,3753.714,,,,,
High income,4/2/20,823136,60928.143,47774,4131.429,,,,,
High income,4/3/20,895390,63364.857,53527,4495.429,,,,,
High income,4/4/20,943522,63963.429,58902,4794.143,,,,,
High income,4/5/20,1003138,65661,63686,5024.714,,,,,
High income,4/6/20,1064507,66340.857,68964,5246.714,,,,,
High income,4/7/20,1119351,65348,76709,5731.714,,,,,
High income,4/8/20,1184522,64611.429,82861,5814.143,,,,,
High income,4/9/20,1254894,64618.429,89967,6060.714,,,,,
High income,4/10/20,1322545,63960.857,96785,6212.857,,,,,
High income,4/11/20,1381332,63043.429,102606,6243.429,,,,,
High income,4/12/20,1483169,69078,107657,6281.571,,,,,
High income,4/13/20,1536476,67926.286,113008,6292,,,,,
High income,4/14/20,1603342,69144.571,119306,6085.571,,,,,
High income,4/15/20,1660431,67990,126851,6284.571,,,,,
High income,4/16/20,1734166,68470.429,133439,6210.571,,,,,
High income,4/17/20,1799002,68068.286,139747,6137.714,,,,,
High income,4/18/20,1854609,67614,145192,6084,,,,,
High income,4/19/20,1908430,60751.571,149780,6017.857,,,,,
